country,platform,year_month,n_videos,views,avg_er,avg_velocity,trend_label
AE,TikTok,2025-01,130,14474636,0.0931968615384615,18357.548923076924,steady
AE,TikTok,2025-02,112,11873208,0.0920056964285714,14471.823839285717,declining
AE,TikTok,2025-03,129,15551725,0.088623503875969,15883.138604651163,rising
AE,TikTok,2025-04,118,9625618,0.0931848305084745,11284.687372881355,declining
AE,TikTok,2025-05,130,12041755,0.092335823076923,12483.08123076923,steady
AE,TikTok,2025-06,120,13084701,0.0929104583333333,14133.511416666668,steady
AE,TikTok,2025-07,122,9695735,0.0928989016393442,9864.65631147541,declining
AE,TikTok,2025-08,131,13364312,0.0943149007633587,14591.37679389313,rising
AE,YouTube,2025-01,71,7303148,0.0564949436619718,14410.628591549295,steady
AE,YouTube,2025-02,67,6411996,0.0493115820895522,15057.44343283582,steady
AE,YouTube,2025-03,73,7439769,0.0515890821917808,15003.074657534244,steady
AE,YouTube,2025-04,71,7655122,0.0502926056338028,13483.790845070424,steady
AE,YouTube,2025-05,90,8883766,0.0487989777777777,12589.82711111111,steady
AE,YouTube,2025-06,81,9443795,0.052403,17991.27962962963,steady
AE,YouTube,2025-07,83,8969316,0.0509633373493975,11906.170361445784,steady
AE,YouTube,2025-08,77,8046965,0.0510385714285714,13286.71025974026,steady
AR,TikTok,2025-01,106,10759928,0.0874376509433962,12673.487075471698,steady
AR,TikTok,2025-02,118,13681227,0.0881009152542372,15963.172796610168,steady
AR,TikTok,2025-03,110,8896846,0.0907346,11370.017454545454,declining
AR,TikTok,2025-04,134,13909146,0.093114843283582,11795.67686567164,rising
AR,TikTok,2025-05,125,13964114,0.087442512,16000.70968,steady
AR,TikTok,2025-06,127,12965590,0.0886590551181102,13742.27874015748,steady
AR,TikTok,2025-07,132,13110883,0.0932116666666666,12910.107196969697,steady
AR,TikTok,2025-08,145,12807622,0.0920109862068965,10568.272689655172,steady
AR,YouTube,2025-01,75,6770102,0.05187228,10479.017866666669,steady
AR,YouTube,2025-02,73,6417242,0.050244808219178,11748.035342465751,steady
AR,YouTube,2025-03,65,5261452,0.0515859692307692,10373.782461538462,declining
AR,YouTube,2025-04,81,7689225,0.0484599135802469,14411.009382716047,rising
AR,YouTube,2025-05,83,6238887,0.0470843614457831,10958.99325301205,declining
AR,YouTube,2025-06,83,8790908,0.0513862168674698,12810.652891566264,rising
AR,YouTube,2025-07,80,8719490,0.0507972125,14809.488625000002,steady
AR,YouTube,2025-08,72,6073888,0.0519976388888888,11674.417083333334,declining
AU,TikTok,2025-01,98,8718723,0.0933772653061224,11648.761836734691,steady
AU,TikTok,2025-02,103,9670150,0.0907781262135922,12795.906213592234,steady
AU,TikTok,2025-03,139,14734356,0.0915608057553956,14190.080863309351,rising
AU,TikTok,2025-04,129,12417420,0.0926265968992248,14223.593488372093,declining
AU,TikTok,2025-05,120,12859948,0.0919384333333333,17617.057083333333,steady
AU,TikTok,2025-06,104,10282287,0.094428298076923,13003.465384615383,declining
AU,TikTok,2025-07,122,13318690,0.091833106557377,14293.203360655738,steady
AU,TikTok,2025-08,120,12439672,0.0927867833333333,16616.407083333335,steady
AU,YouTube,2025-01,88,8945895,0.05143775,11551.437840909091,steady
AU,YouTube,2025-02,65,5464667,0.0499959384615384,9555.283846153843,declining
AU,YouTube,2025-03,86,9630025,0.0509594069767441,17448.778023255814,rising
AU,YouTube,2025-04,82,8137004,0.0491291585365853,13097.330609756098,declining
AU,YouTube,2025-05,71,5650126,0.0502134225352112,9535.665915492958,declining
AU,YouTube,2025-06,71,7337763,0.0492026619718309,13142.75647887324,steady
AU,YouTube,2025-07,74,5983473,0.0502563783783783,10720.913648648648,declining
AU,YouTube,2025-08,71,6980000,0.0524576056338028,13247.338873239438,steady
BR,TikTok,2025-01,112,10133944,0.08792575,13933.260625,steady
BR,TikTok,2025-02,98,9683421,0.0933039795918367,12735.620714285717,steady
BR,TikTok,2025-03,133,12819016,0.0933897293233082,12662.826090225564,rising
BR,TikTok,2025-04,107,13491534,0.0907282056074766,19773.591028037383,steady
BR,TikTok,2025-05,129,14227079,0.0927640232558139,14759.91023255814,steady
BR,TikTok,2025-06,117,11420503,0.0926620256410256,14751.069230769232,declining
BR,TikTok,2025-07,122,11438682,0.0907469344262295,15035.319098360656,steady
BR,TikTok,2025-08,121,12347467,0.0907354297520661,14519.15,steady
BR,YouTube,2025-01,78,7936957,0.0506053333333333,14948.60371794872,steady
BR,YouTube,2025-02,62,5253737,0.0508368387096774,12621.669516129032,declining
BR,YouTube,2025-03,80,8374672,0.0482976375,15418.143125,rising
BR,YouTube,2025-04,91,9190088,0.050927956043956,12818.57054945055,steady
BR,YouTube,2025-05,96,11425847,0.0498072604166666,17333.537604166668,steady
BR,YouTube,2025-06,92,7144811,0.0545806956521739,11902.015326086956,declining
BR,YouTube,2025-07,89,9802918,0.0492937303370786,16683.957528089886,rising
BR,YouTube,2025-08,95,10099643,0.0467812842105263,13108.355263157897,steady
CA,TikTok,2025-01,106,11362059,0.0917827830188679,14129.687924528302,steady
CA,TikTok,2025-02,99,11065886,0.0934963636363636,15027.60191919192,steady
CA,TikTok,2025-03,134,12877581,0.0951544104477612,11468.021940298508,steady
CA,TikTok,2025-04,112,10565301,0.0933792589285714,12931.246875,declining
CA,TikTok,2025-05,139,13211150,0.0929742805755395,12558.109208633094,steady
CA,TikTok,2025-06,117,10519407,0.0900585726495726,12645.775299145298,declining
CA,TikTok,2025-07,130,12356104,0.0918659307692307,13878.887076923078,steady
CA,TikTok,2025-08,123,16810899,0.092936487804878,16186.16674796748,rising
CA,YouTube,2025-01,81,6761030,0.0514675555555555,11242.354567901237,steady
CA,YouTube,2025-02,72,6851956,0.0506865416666666,16544.644166666665,steady
CA,YouTube,2025-03,85,8347711,0.0499804352941176,13749.439411764706,steady
CA,YouTube,2025-04,73,6517402,0.0486382876712328,13891.108767123287,declining
CA,YouTube,2025-05,89,7934258,0.0490161910112359,10940.296404494382,steady
CA,YouTube,2025-06,61,5344959,0.0518242131147541,11722.219016393445,declining
CA,YouTube,2025-07,74,7587124,0.0492408648648648,13486.783378378375,rising
CA,YouTube,2025-08,90,9576179,0.0521048444444444,11647.093111111111,steady
CN,TikTok,2025-01,126,12397751,0.0948052301587301,13525.829126984128,steady
CN,TikTok,2025-02,116,11260565,0.0908840517241379,12845.14801724138,steady
CN,TikTok,2025-03,110,9064009,0.0900543727272727,10750.400363636363,declining
CN,TikTok,2025-04,131,11956380,0.0894018625954198,13992.223358778629,rising
CN,TikTok,2025-05,132,11594708,0.0922865,11922.079772727271,steady
CN,TikTok,2025-06,112,11332235,0.0901801517857142,15324.917767857143,steady
CN,TikTok,2025-07,114,12056017,0.0914407894736842,16596.743333333332,steady
CN,TikTok,2025-08,161,16322546,0.0898778198757764,15016.776397515529,rising
CN,YouTube,2025-01,82,7648750,0.0536975243902438,13904.21792682927,steady
CN,YouTube,2025-02,75,6177062,0.0507038933333333,13537.249866666669,declining
CN,YouTube,2025-03,65,6883216,0.0504362,15846.144,steady
CN,YouTube,2025-04,86,7000140,0.0501158604651162,12742.322906976744,steady
CN,YouTube,2025-05,89,9375597,0.050107011235955,14417.43943820225,rising
CN,YouTube,2025-06,82,8327586,0.0544757073170731,14392.993048780489,steady
CN,YouTube,2025-07,89,9665615,0.0505229101123595,14043.265393258424,steady
CN,YouTube,2025-08,87,8434211,0.0533968735632183,11598.443218390805,steady
CO,TikTok,2025-01,101,9742607,0.0909494851485148,11297.453861386137,steady
CO,TikTok,2025-02,107,10446790,0.0939139813084112,14785.909813084114,steady
CO,TikTok,2025-03,133,13227306,0.0931091052631579,12969.254887218043,steady
