trend_label,platform,region,language,category,traffic_source,device_brand,creator_tier,title_len,text_richness,like_rate,comment_rate,share_rate,like_rate_log,comment_rate_log,share_rate_log,views_per_day,likes_per_day,rel_like,rel_share,rel_combo,like_hashtag_interaction,share_hashtag_interaction,platform_cat,region_cat,language_cat,category_cat,traffic_source_cat,device_brand_cat,creator_tier_cat,richness_traffic_interaction,weekend_hashtag_boost
stable,youtube,Africa,es,Food,search,samsung,nano,2,1.9999980000020001,0.2899972462945625,0.0945128188848472,0.0566751262272619,0.25464008371592445,0.09030935000433453,0.05512730508234036,0.10074527009662325,0.02921585090523693,0.4167571925367022,0.15313834724595524,0.07833916314778272,0.2899972462945625,0.0566751262272619,1,0,3,3,4,5,3,9.999990000010001,0
stable,youtube,Europe,it,Comedy,feed,apple,micro,2,1.9999980000020001,0.11299877656377774,0.1299734364113358,0.0929867136192993,0.10705797306888426,0.12219412484735342,0.08891405323698595,0.09685572629049656,0.010944578574027787,-0.43854693419666835,0.6823060215920663,-0.14760292640141515,0.11299877656377774,0.0929867136192993,1,3,6,1,1,0,1,3.9999960000040002,0
stable,tiktok,Americas,en,Tech,search,google,micro,2,1.9999980000020001,0.1333104033242175,0.1642239561391202,0.0640855174104217,0.1251429103883445,0.15205473298369493,0.062115761195710904,0.10571193919557118,0.014092501250353301,-0.32598472672697,0.152405856082974,-0.12593930838630762,0.1333104033242175,0.0640855174104217,0,1,2,9,4,1,1,9.999990000010001,0
rising,tiktok,Americas,ar,Comedy,feed,huawei,mid,2,1.9999980000020001,0.24446353095248707,0.0615208976559291,0.1824433334215273,0.21870453821974742,0.05970268887829729,0.1675829192391091,0.16476490957069564,0.0402790115707315,0.26672364823704797,2.5638600951673167,0.6207289335505476,0.24446353095248707,0.1824433334215273,0,1,0,1,1,2,2,3.9999960000040002,0
stable,tiktok,Americas,pt,Beauty,search,apple,nano,2,1.9999980000020001,0.23294243384089763,0.0269490546709399,0.0983269193319442,0.20940353520981048,0.026592323748078368,0.09378803951083672,0.1204105472713354,0.028048725941510772,0.13472750148162194,0.9032828810618242,0.1629677779303383,0.23294243384089763,0.0983269193319442,0,1,9,0,4,0,3,9.999990000010001,0
declining,tiktok,Americas,en,Beauty,share,samsung,micro,2,1.9999980000020001,0.08832740147324485,0.1298637673466187,0.0298728109134174,0.08464202363799916,0.12209706558607494,0.02943531006661945,0.09483485448432866,0.008376516265698393,-0.5697295920259432,-0.42174803158767293,-0.3151577035416702,0.08832740147324485,0.0298728109134174,0,1,2,0,5,5,1,11.999988000012001,0
rising,tiktok,Americas,ja,News,profile,samsung,nano,3,2.9999970000030003,0.2139747214991509,0.1528057481483616,0.1776099904892871,0.19389986993217193,0.1421987519401902,0.16348695272796118,0.11811328181323588,0.02527325658134839,0.09471639868905266,2.3727596436476968,0.2987205699484857,0.2139747214991509,0.1776099904892871,0,1,7,7,3,5,3,11.999988000012001,0
declining,youtube,Asia,es,Education,external,xiaomi,nano,3,2.9999970000030003,0.19707774164994543,0.0195041604826884,0.0014496395432817,0.17988337154284387,0.01931639192908606,0.001448589830226889,0.10522955541998456,0.02073840313700802,-0.01292293566268782,-0.9742188460640181,-0.14349910300291144,0.19707774164994543,0.0014496395432817,1,2,3,2,0,6,3,2.9999970000030003,0
stable,tiktok,Europe,de,Music,feed,samsung,nano,2,1.9999980000020001,0.14050696171933488,0.0754374306889225,0.0317905181674022,0.1314728668177879,0.07272749108204567,0.03129566018297227,0.141022788387425,0.019814683529512694,-0.3241791100484966,-0.4684042586979143,0.014164850890089654,0.14050696171933488,0.0317905181674022,0,3,1,6,1,5,3,3.9999960000040002,0
stable,tiktok,Americas,ru,Tech,feed,xiaomi,mid,2,1.9999980000020001,0.08278009099018484,0.0513087236493711,0.0818176514775036,0.07953189198958747,0.05003579152904703,0.07864263708811398,0.10738907672871299,0.00888967754295887,-0.5814632636497565,0.47126567192983276,-0.16186617336069978,0.08278009099018484,0.0818176514775036,0,1,10,9,1,6,2,3.9999960000040002,0
