feature_group,feature
temporal,week_of_year
content_basic,duration_sec
engagement_observed,views
engagement_observed,likes
engagement_observed,comments
engagement_observed,shares
engagement_observed,saves
engagement_observed,engagement_rate
temporal,upload_hour
engagement_observed,dislikes
engagement_observed,comment_ratio
engagement_observed,share_rate
engagement_observed,save_rate
engagement_observed,like_dislike_ratio
creator,creator_avg_views
content_basic,title_length
content_basic,has_emoji
engagement_observed,avg_watch_time_sec
engagement_observed,completion_rate
temporal,is_weekend
engagement_observed,engagement_total
engagement_observed,like_rate
engagement_observed,dislike_rate
engagement_observed,engagement_per_1k
engagement_observed,engagement_like_rate
engagement_observed,engagement_comment_rate
engagement_observed,engagement_share_rate
temporal,publish_month
temporal,publish_day
metadata,platform_tiktok
metadata,platform_youtube
metadata,country_ae
metadata,country_ar
metadata,country_au
metadata,country_br
metadata,country_ca
metadata,country_cn
metadata,country_co
metadata,country_de
metadata,country_eg
metadata,country_es
metadata,country_fr
metadata,country_gb
metadata,country_id
metadata,country_in
metadata,country_it
metadata,country_jp
metadata,country_ke
metadata,country_kr
metadata,country_ma
metadata,country_mx
metadata,country_ng
metadata,country_nl
metadata,country_ph
metadata,country_pl
metadata,country_ru
metadata,country_sa
metadata,country_se
metadata,country_tr
metadata,country_us
metadata,country_za
metadata,region_africa
metadata,region_asia
metadata,region_europe
metadata,region_north america
metadata,region_oceania
metadata,region_south america
metadata,language_ar
metadata,language_de
metadata,language_en
metadata,language_es
metadata,language_fr
metadata,language_hi
metadata,language_id
metadata,language_it
metadata,language_ja
metadata,language_ko
metadata,language_nl
metadata,language_pl
metadata,language_pt
metadata,language_ru
metadata,language_sv
metadata,language_sw
metadata,language_tl
metadata,language_tr
metadata,language_zh
metadata,category_art
metadata,category_automotive
metadata,category_beauty
metadata,category_comedy
metadata,category_diy
metadata,category_education
metadata,category_fashion
metadata,category_finance
metadata,category_fitness
metadata,category_food
metadata,category_gaming
metadata,category_lifestyle
metadata,category_music
metadata,category_news
metadata,category_pets
metadata,category_science
metadata,category_sports
metadata,category_tech
metadata,category_travel
metadata,hashtag_#ai
metadata,hashtag_#beauty
metadata,hashtag_#booktok
metadata,hashtag_#cattok
metadata,hashtag_#coding
metadata,hashtag_#comedy
metadata,hashtag_#cover
metadata,hashtag_#crafts
metadata,hashtag_#dance
metadata,hashtag_#dancechallenge
metadata,hashtag_#diy
metadata,hashtag_#dogtok
metadata,hashtag_#esports
metadata,hashtag_#fashion
metadata,hashtag_#foodie
metadata,hashtag_#football
metadata,hashtag_#fyp
metadata,hashtag_#gameclip
metadata,hashtag_#gaming
metadata,hashtag_#grwm
metadata,hashtag_#hiddengems
metadata,hashtag_#learnontiktok
metadata,hashtag_#lifehacks
metadata,hashtag_#lifestyle
metadata,hashtag_#makeup
metadata,hashtag_#morningroutine
metadata,hashtag_#motivation
metadata,hashtag_#music
metadata,hashtag_#ootd
metadata,hashtag_#pets
metadata,hashtag_#recipe
metadata,hashtag_#relatable
metadata,hashtag_#skincare
metadata,hashtag_#sports
metadata,hashtag_#streamer
metadata,hashtag_#streetfood
metadata,hashtag_#studywithme
metadata,hashtag_#tech
metadata,hashtag_#travel
metadata,hashtag_#wanderlust
metadata,hashtag_#workout
metadata,sound_type_licensed
metadata,sound_type_original
metadata,sound_type_trending
metadata,device_type_android
metadata,device_type_ios
metadata,device_type_web
content_basic,genre_beauty
content_basic,genre_comedy
content_basic,genre_dance
content_basic,genre_diy
content_basic,genre_education
content_basic,genre_fashion
content_basic,genre_food
content_basic,genre_gaming
content_basic,genre_lifestyle
content_basic,genre_music
content_basic,genre_pets
content_basic,genre_sports
content_basic,genre_tech
content_basic,genre_travel
temporal,publish_dayofweek_friday
temporal,publish_dayofweek_monday
temporal,publish_dayofweek_saturday
temporal,publish_dayofweek_sunday
temporal,publish_dayofweek_thursday
temporal,publish_dayofweek_tuesday
temporal,publish_dayofweek_wednesday
temporal,publish_period_afternoon
temporal,publish_period_evening
temporal,publish_period_morning
temporal,publish_period_night
temporal,event_season_backtoschool
temporal,event_season_holidayseason
temporal,event_season_ramadan
temporal,event_season_regular
temporal,event_season_summerbreak
creator,creator_tier_micro
creator,creator_tier_mid
temporal,season_fall
temporal,season_spring
temporal,season_summer
temporal,season_winter
metadata,device_brand_desktop
metadata,device_brand_huawei
metadata,device_brand_iphone
metadata,device_brand_oppo
metadata,device_brand_other
metadata,device_brand_pixel
metadata,device_brand_samsung
metadata,device_brand_vivo
metadata,device_brand_xiaomi
metadata,traffic_source_external
metadata,traffic_source_following
metadata,traffic_source_foryou
metadata,traffic_source_home
metadata,traffic_source_search
metadata,traffic_source_suggested
