feature,original_feature,feature_group
week_of_year,week_of_year,temporal
duration_sec,duration_sec,content_basic
views,views,engagement_observed
likes,likes,engagement_observed
comments,comments,engagement_observed
shares,shares,engagement_observed
saves,saves,engagement_observed
engagement_rate,engagement_rate,engagement_observed
upload_hour,upload_hour,temporal
dislikes,dislikes,engagement_observed
comment_ratio,comment_ratio,engagement_observed
share_rate,share_rate,engagement_observed
save_rate,save_rate,engagement_observed
like_dislike_ratio,like_dislike_ratio,engagement_observed
creator_avg_views,creator_avg_views,creator
title_length,title_length,content_basic
has_emoji,has_emoji,content_basic
avg_watch_time_sec,avg_watch_time_sec,engagement_observed
completion_rate,completion_rate,engagement_observed
is_weekend,is_weekend,temporal
engagement_total,engagement_total,engagement_observed
like_rate,like_rate,engagement_observed
dislike_rate,dislike_rate,engagement_observed
engagement_per_1k,engagement_per_1k,engagement_observed
engagement_like_rate,engagement_like_rate,engagement_observed
engagement_comment_rate,engagement_comment_rate,engagement_observed
engagement_share_rate,engagement_share_rate,engagement_observed
publish_month,publish_month,temporal
publish_day,publish_day,temporal
platform_tiktok,platform,metadata
platform_youtube,platform,metadata
country_ae,country,metadata
country_ar,country,metadata
country_au,country,metadata
country_br,country,metadata
country_ca,country,metadata
country_cn,country,metadata
country_co,country,metadata
country_de,country,metadata
country_eg,country,metadata
country_es,country,metadata
country_fr,country,metadata
country_gb,country,metadata
country_id,country,metadata
country_in,country,metadata
country_it,country,metadata
country_jp,country,metadata
country_ke,country,metadata
country_kr,country,metadata
country_ma,country,metadata
country_mx,country,metadata
country_ng,country,metadata
country_nl,country,metadata
country_ph,country,metadata
country_pl,country,metadata
country_ru,country,metadata
country_sa,country,metadata
country_se,country,metadata
country_tr,country,metadata
country_us,country,metadata
country_za,country,metadata
region_africa,region,metadata
region_asia,region,metadata
region_europe,region,metadata
region_north america,region,metadata
region_oceania,region,metadata
region_south america,region,metadata
language_ar,language,metadata
language_de,language,metadata
language_en,language,metadata
language_es,language,metadata
language_fr,language,metadata
language_hi,language,metadata
language_id,language,metadata
language_it,language,metadata
language_ja,language,metadata
language_ko,language,metadata
language_nl,language,metadata
language_pl,language,metadata
language_pt,language,metadata
language_ru,language,metadata
language_sv,language,metadata
language_sw,language,metadata
language_tl,language,metadata
language_tr,language,metadata
language_zh,language,metadata
category_art,category,metadata
category_automotive,category,metadata
category_beauty,category,metadata
category_comedy,category,metadata
category_diy,category,metadata
category_education,category,metadata
category_fashion,category,metadata
category_finance,category,metadata
category_fitness,category,metadata
category_food,category,metadata
category_gaming,category,metadata
category_lifestyle,category,metadata
category_music,category,metadata
category_news,category,metadata
category_pets,category,metadata
category_science,category,metadata
category_sports,category,metadata
category_tech,category,metadata
category_travel,category,metadata
hashtag_#ai,hashtag,metadata
hashtag_#beauty,hashtag,metadata
hashtag_#booktok,hashtag,metadata
hashtag_#cattok,hashtag,metadata
hashtag_#coding,hashtag,metadata
hashtag_#comedy,hashtag,metadata
hashtag_#cover,hashtag,metadata
hashtag_#crafts,hashtag,metadata
hashtag_#dance,hashtag,metadata
hashtag_#dancechallenge,hashtag,metadata
hashtag_#diy,hashtag,metadata
hashtag_#dogtok,hashtag,metadata
hashtag_#esports,hashtag,metadata
hashtag_#fashion,hashtag,metadata
hashtag_#foodie,hashtag,metadata
hashtag_#football,hashtag,metadata
hashtag_#fyp,hashtag,metadata
hashtag_#gameclip,hashtag,metadata
hashtag_#gaming,hashtag,metadata
hashtag_#grwm,hashtag,metadata
