feature_group,feature
content_basic,title_len
content_basic,text_richness
engagement_observed,like_rate
engagement_observed,comment_rate
engagement_observed,share_rate
engagement_observed,like_rate_log
engagement_observed,comment_rate_log
engagement_observed,share_rate_log
engagement_observed,views_per_day
engagement_observed,likes_per_day
engagement_observed,rel_like
engagement_observed,rel_share
engagement_observed,rel_combo
interactions,like_hashtag_interaction
interactions,share_hashtag_interaction
metadata,platform_cat
metadata,region_cat
metadata,language_cat
metadata,category_cat
metadata,traffic_source_cat
metadata,device_brand_cat
creator,creator_tier_cat
interactions,richness_traffic_interaction
interactions,weekend_hashtag_boost
metadata,platform_tiktok
metadata,platform_youtube
metadata,region_africa
metadata,region_americas
metadata,region_asia
metadata,region_europe
metadata,region_mena
metadata,region_oceania
metadata,language_ar
metadata,language_de
metadata,language_en
metadata,language_es
metadata,language_fr
metadata,language_hi
metadata,language_it
metadata,language_ja
metadata,language_ko
metadata,language_pt
metadata,language_ru
metadata,language_tr
metadata,category_beauty
metadata,category_comedy
metadata,category_education
metadata,category_food
metadata,category_gaming
metadata,category_lifestyle
metadata,category_music
metadata,category_news
metadata,category_sports
metadata,category_tech
metadata,category_travel
metadata,traffic_source_external
metadata,traffic_source_feed
metadata,traffic_source_hashtag
metadata,traffic_source_profile
metadata,traffic_source_search
metadata,traffic_source_share
metadata,device_brand_apple
metadata,device_brand_google
metadata,device_brand_huawei
metadata,device_brand_oppo
metadata,device_brand_other
metadata,device_brand_samsung
metadata,device_brand_xiaomi
creator,creator_tier_macro
creator,creator_tier_micro
creator,creator_tier_mid
creator,creator_tier_nano
