feature,original_feature,feature_group
title_len,title_len,content_basic
text_richness,text_richness,content_basic
like_rate,like_rate,engagement_observed
comment_rate,comment_rate,engagement_observed
share_rate,share_rate,engagement_observed
like_rate_log,like_rate_log,engagement_observed
comment_rate_log,comment_rate_log,engagement_observed
share_rate_log,share_rate_log,engagement_observed
views_per_day,views_per_day,engagement_observed
likes_per_day,likes_per_day,engagement_observed
rel_like,rel_like,engagement_observed
rel_share,rel_share,engagement_observed
rel_combo,rel_combo,engagement_observed
like_hashtag_interaction,like_hashtag_interaction,interactions
share_hashtag_interaction,share_hashtag_interaction,interactions
platform_cat,platform,metadata
region_cat,region,metadata
language_cat,language,metadata
category_cat,category,metadata
traffic_source_cat,traffic_source,metadata
device_brand_cat,device_brand,metadata
creator_tier_cat,creator_tier,creator
richness_traffic_interaction,richness_traffic_interaction,interactions
weekend_hashtag_boost,weekend_hashtag_boost,interactions
platform_tiktok,platform,metadata
platform_youtube,platform,metadata
region_africa,region,metadata
region_americas,region,metadata
region_asia,region,metadata
region_europe,region,metadata
region_mena,region,metadata
region_oceania,region,metadata
language_ar,language,metadata
language_de,language,metadata
language_en,language,metadata
language_es,language,metadata
language_fr,language,metadata
language_hi,language,metadata
language_it,language,metadata
language_ja,language,metadata
language_ko,language,metadata
language_pt,language,metadata
language_ru,language,metadata
language_tr,language,metadata
category_beauty,category,metadata
category_comedy,category,metadata
category_education,category,metadata
category_food,category,metadata
category_gaming,category,metadata
category_lifestyle,category,metadata
category_music,category,metadata
category_news,category,metadata
category_sports,category,metadata
category_tech,category,metadata
category_travel,category,metadata
traffic_source_external,traffic_source,metadata
traffic_source_feed,traffic_source,metadata
traffic_source_hashtag,traffic_source,metadata
traffic_source_profile,traffic_source,metadata
traffic_source_search,traffic_source,metadata
traffic_source_share,traffic_source,metadata
device_brand_apple,device_brand,metadata
device_brand_google,device_brand,metadata
device_brand_huawei,device_brand,metadata
device_brand_oppo,device_brand,metadata
device_brand_other,device_brand,metadata
device_brand_samsung,device_brand,metadata
device_brand_xiaomi,device_brand,metadata
creator_tier_macro,creator_tier,creator
creator_tier_micro,creator_tier,creator
creator_tier_mid,creator_tier,creator
creator_tier_nano,creator_tier,creator
