title_len,text_richness,like_rate,comment_rate,share_rate,like_rate_log,comment_rate_log,share_rate_log,views_per_day,likes_per_day,rel_like,rel_share,rel_combo,like_hashtag_interaction,share_hashtag_interaction,platform_cat,region_cat,language_cat,category_cat,traffic_source_cat,device_brand_cat,creator_tier_cat,richness_traffic_interaction,weekend_hashtag_boost,platform_tiktok,platform_youtube,region_africa,region_americas,region_asia,region_europe,region_mena,region_oceania,language_ar,language_de,language_en,language_es,language_fr,language_hi,language_it,language_ja,language_ko,language_pt,language_ru,language_tr,category_beauty,category_comedy,category_education,category_food,category_gaming,category_lifestyle,category_music,category_news,category_sports,category_tech,category_travel,traffic_source_external,traffic_source_feed,traffic_source_hashtag,traffic_source_profile,traffic_source_search,traffic_source_share,device_brand_apple,device_brand_google,device_brand_huawei,device_brand_oppo,device_brand_other,device_brand_samsung,device_brand_xiaomi,creator_tier_macro,creator_tier_micro,creator_tier_mid,creator_tier_nano,trend_label
2,1.999998000002,0.4983785190758881,0.0534059316381689,0.171818519396015,0.4043835361372721,0.0520286589969683,0.1585568322330691,0.1067409095388639,0.0531973764208168,1.4932577081241487,2.1270108278985,0.6251829149985751,0.4983785190758881,0.171818519396015,0,2,1,5,4,1,2,9.99999000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,rising
3,2.9999970000030003,0.0917114250203694,0.0991617482800284,0.0457722313723191,0.0877465795972867,0.0945478422807446,0.044755589897203,0.1333434182851515,0.0122291149080229,-0.5246147201280706,-0.1450701275415122,-0.0683136492515396,0.0917114250203694,0.0457722313723191,1,4,2,0,2,5,0,8.999991000009,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,stable
2,1.999998000002,0.3033544404416817,0.0782275270487553,0.0308573516280961,0.2649412799103195,0.0753185142685706,0.0303908362267005,0.1638740736116947,0.0497119279033895,0.3789284844147639,-0.5002370446625082,0.3312295500871977,0.3033544404416817,0.0308573516280961,0,2,0,6,1,1,1,3.999996000004,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,rising
3,2.9999970000030003,0.1231557770869142,0.0920210938600673,0.0749575694955212,0.1161423812626232,0.0880301938578211,0.0722811905639313,0.0969773997096032,0.0119433270211105,-0.3953043891880229,0.3253657079297785,-0.1760228601635431,0.1231557770869142,0.0749575694955212,1,2,9,7,3,4,3,11.999988000012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,stable
2,1.999998000002,0.2767489982987,0.0201311045584582,0.0291657240838985,0.2443170019740924,0.0199311529172495,0.0287484974156702,0.0865701268296545,0.0239581958827119,0.3916243351602984,-0.4380401819056996,-0.0702043984136843,0.2767489982987,0.0291657240838985,1,1,2,3,2,3,3,5.999994000006001,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,stable
2,1.999998000002,0.5066871936248094,0.1294227841737061,0.0528382469536654,0.4099133291704859,0.1217066917503912,0.0514896097224162,0.0983448998291958,0.0498301013017931,1.6254684663101575,0.0321596738319948,0.4186951826257012,0.5066871936248094,0.0528382469536654,0,1,2,1,1,0,1,3.999996000004,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,rising
3,2.9999970000030003,0.4231241164202624,0.1174968711485878,0.0147709631456026,0.3528545369627801,0.1110912476346316,0.014662934957193,0.1067394398418597,0.0451640311703014,1.1392977934459816,-0.7343700746630681,0.2303780041433409,0.4231241164202624,0.0147709631456026,1,1,2,9,4,0,1,14.999985000015002,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,rising
2,1.999998000002,0.1731748670523716,0.0565565775514882,0.1697750117018193,0.1597136353314911,0.0550151085109127,0.1568114326273404,0.1038272484778724,0.0179802699515776,-0.1326414760261332,2.017304686469373,0.1123044256670827,0.1731748670523716,0.1697750117018193,1,2,2,2,2,5,2,5.999994000006001,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stable
3,2.9999970000030003,0.0567070843731427,0.0456283295865541,0.0159926150111348,0.0551575486849627,0.044617977056623,0.0158660804400451,0.1022851369612938,0.0058002918917853,-0.7285813900071753,-0.7200806543372392,-0.3516742322100583,0.0567070843731427,0.0159926150111348,1,2,2,0,1,2,3,5.999994000006001,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,declining
2,1.999998000002,0.0871939058667465,0.0479935549766548,0.0287388559870474,0.0835999784920913,0.0468774360485038,0.0283336403740881,0.1255133773769194,0.0109440016120248,-0.5706640021152123,-0.4502253822232329,-0.159249089471405,0.0871939058667465,0.0287388559870474,0,5,6,3,1,1,1,3.999996000004,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,stable
3,2.9999970000030003,0.3228788122248789,0.0132214427304956,0.0,0.2798102802001619,0.0131348022954014,0.0,0.1220395276094568,0.0394039777190425,0.7261703268680868,-0.999980906227095,0.1635328304694073,0.3228788122248789,0.0,1,4,7,2,1,5,1,5.999994000006001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,stable
2,1.999998000002,0.301261832582847,0.0546358437559783,0.0872682435161305,0.2633344341490005,0.0531955355472525,0.0836683518592103,0.1167915255360666,0.0351848290131566,0.4641269224125442,0.5416543802875483,0.2149906176343305,0.301261832582847,0.0872682435161305,0,2,10,9,5,3,1,11.999988000012,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,rising
2,1.999998000002,0.0274538355602952,0.0843887761388779,0.1008502591422084,0.0270837374838297,0.0810164882926798,0.096082844078941,0.1262882711453207,0.0034670974292189,-0.8644576155328833,0.8500552885891837,-0.1096082989865152,0.0274538355602952,0.1008502591422084,1,2,2,8,1,0,1,3.999996000004,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,seasonal
