author_handle,platform,n_videos,views,avg_er,likes_sum,dislikes_sum,comments_sum,shares_sum,saves_sum,total_engagements,avg_engagement_velocity,avg_comment_ratio,avg_share_rate,avg_save_rate,avg_like_dislike_ratio,avg_engagement_per_1k,avg_like_rate,avg_dislike_rate,creator_avg_views
UrbanVision,TikTok,136,17938952,0.0919136985294117,1267238,36094,142403,125916,124572,1660129,17957.902499999997,0.0076482647058823,0.0068487426470588,0.0073016617647058,49.73520961029412,91.91369852941176,0.0701150588235294,0.001887125,120866.4
BeyondStudio,TikTok,135,17085072,0.0879155333333333,1121223,31594,123017,114620,130934,1489794,17890.30348148148,0.007438674074074,0.0064964148148148,0.006724437037037,49.87544894814815,87.91553333333333,0.0672559481481481,0.001922437037037,116192.9
StreetVision,TikTok,133,16843324,0.0930180977443609,1228515,28953,129169,114222,138762,1610668,18574.954962406013,0.0074542105263157,0.0068860375939849,0.0075547669172932,54.07613827819549,93.0180977443609,0.0711231203007518,0.0018698270676691,116083.5
NextMedia,TikTok,148,16325236,0.092222081081081,1161803,29124,128881,110655,119691,1521030,15570.731418918918,0.0076053175675675,0.0067327972972972,0.0073605202702702,53.285924195945945,92.22208108108109,0.0705234729729729,0.0018183243243243,106288.7
PrimeLabs,TikTok,135,16240032,0.0923068296296296,1095828,28067,119613,105152,112859,1433452,15412.244,0.007698037037037,0.0067514666666666,0.0077172,52.907429888888885,92.30682962962965,0.0701400814814814,0.001816437037037,103134.2
NextVision,TikTok,148,15358183,0.0955974594594594,1092523,33298,121576,108672,117187,1439958,12583.048445945946,0.0079954932432432,0.0071767027027027,0.0072609189189189,50.4222208445946,95.59745945945949,0.073164331081081,0.0019444932432432,96474.3
BeyondHub,TikTok,133,14998702,0.0976147368421052,1098407,31215,114746,104548,109292,1426993,14599.31240601504,0.0080361278195488,0.007130902255639,0.0076386090225563,47.82925221804511,97.61473684210526,0.0748090075187969,0.002069962406015,108139.89999999998
VividLabs,TikTok,134,14825789,0.0907360597014925,1027580,24509,108540,100247,108688,1345055,17076.885970149255,0.0074686044776119,0.0067528134328358,0.0070502164179104,52.48674367164179,90.73605970149254,0.0694644626865671,0.0017829626865671,104933.1
VividWorks,TikTok,120,14056602,0.0904647416666666,954682,24823,103573,90520,104961,1253736,13715.493333333334,0.0076496916666666,0.0065100833333333,0.0066998333333333,51.974816125,90.46474166666668,0.0696051333333333,0.00185715,129372.5
InsideVision,TikTok,136,13895416,0.0935718897058823,989775,25079,114524,93924,106304,1304527,15809.758823529412,0.0078557573529411,0.0069343970588235,0.007348544117647,52.362841875,93.57188970588236,0.0714331102941176,0.0017978602941176,96533.9
