platform,hashtag,n_videos,views,likes,comments,shares,saves,avg_er,avg_engagement_velocity,avg_comment_ratio,avg_share_rate,avg_save_rate,avg_like_dislike_ratio,avg_engagement_per_1k,avg_like_rate,avg_dislike_rate,total_engagements
TikTok,#FYP,7379,734064265,51402240,5651829,4998382,5348188,0.0918378434747255,13954.979632741562,0.0076917590459411,0.0067834954600894,0.0072214645615937,51.43601638108144,91.83784347472556,0.0701411307765279,0.0018922149342729,67400639
TikTok,#GRWM,1013,111331419,7726251,843072,753230,777258,0.0913197285291214,15906.769318854887,0.0076375409674234,0.0067458252714708,0.0071035577492596,49.44978103849951,91.31972852912142,0.0698327857847976,0.0019212201382033,10099811
TikTok,#Comedy,762,79538424,5748752,620867,551845,606968,0.0927615196850393,14930.337532808398,0.0076769068241469,0.0068325879265091,0.0076254908136482,49.35187156430446,92.76151968503936,0.0706265446194225,0.0019405774278215,7528432
TikTok,#Lifestyle,782,78531438,5437932,590141,532055,578370,0.0913949590792839,13480.843388746802,0.0075362084398976,0.0067128542199488,0.0073237199488491,51.09402394629156,91.39495907928388,0.0698221560102301,0.0018434693094629,7138498
TikTok,#Relatable,795,76879158,5452690,603507,527910,557667,0.0928132679245282,13024.526163522014,0.0077963735849056,0.0069185559748427,0.0072229496855345,48.3884139672956,92.81326792452828,0.0708753761006289,0.0019659056603773,7141774
TikTok,#DanceChallenge,750,76788504,5471019,586172,532800,558434,0.0922575599999999,13618.122106666668,0.0076018066666666,0.0067850866666666,0.0074619386666666,49.166928354666666,92.25756,0.070408748,0.001935712,7148425
TikTok,#MorningRoutine,728,75054798,5201935,556950,504899,541901,0.0936089423076923,14470.947857142855,0.0078036057692307,0.0068913104395604,0.0074786002747252,50.88137955494505,93.6089423076923,0.0714354079670329,0.0019893997252747,6805685
TikTok,#Music,765,73072381,5128419,566477,487336,519950,0.0909078117647058,13415.973032679738,0.007604785620915,0.0067257202614379,0.0069492261437908,50.2405271006536,90.90781176470588,0.0696280509803921,0.0019285869281045,6702182
TikTok,#Cover,731,70097940,4890112,551705,471164,502952,0.0916604021887824,15011.726388508892,0.0077511928864569,0.0066987852257181,0.0072714035567715,51.39631859097128,91.66040218878248,0.0699390109439124,0.0019450820793433,6415933
TikTok,#Dance,739,68980009,4902534,538237,471687,507350,0.0924328917456021,12405.48110960758,0.0078152313937753,0.0068227753721244,0.0073378159675236,49.05618643707713,92.43289174560218,0.0704570514208389,0.0019239512855209,6419808
TikTok,#OOTD,584,64603342,4451286,495698,428238,464545,0.0914035188356164,16097.85412671233,0.0076818047945205,0.0066763476027397,0.0073579023972602,51.00591464383562,91.40351883561644,0.0696875222602739,0.0019315599315068,5839767
TikTok,#AI,599,63904603,4493938,500761,429225,464073,0.0923222220367278,15445.055792988314,0.0077477128547579,0.0067940851419031,0.0072260066777963,48.300625843071785,92.32222203672788,0.0705544023372287,0.0020058714524207,5887997
TikTok,#Sports,607,63404095,4414211,477906,422346,442598,0.0922468484349258,13968.941598023066,0.0077499983525535,0.006780057660626,0.007200212520593,49.6971956738056,92.24684843492588,0.0705165733113673,0.001966388797364,5757061
TikTok,#Motivation,583,60533486,4261417,459382,406007,412953,0.0921837718696397,14715.89463121784,0.0076101955403087,0.0068070926243567,0.0073615969125214,49.96057037049742,92.1837718696398,0.0704049416809605,0.0019255986277873,5539759
TikTok,#Tech,569,60239255,4107825,453626,399213,428425,0.0892095430579964,15516.098066783832,0.007469057996485,0.0066585518453427,0.0070429244288224,48.16336107381371,89.20954305799648,0.068038971880492,0.001943288224956,5389089
TikTok,#BookTok,591,59852886,4261232,480448,413583,430575,0.0938950812182741,14735.557952622674,0.0080285905245346,0.0069124467005076,0.0072144517766497,49.96087971742809,93.89508121827411,0.0717396057529611,0.0019391082910321,5585838
TikTok,#DogTok,601,59353001,4063909,455632,392056,392181,0.0899319301164725,14268.229900166389,0.0076483410981697,0.0065995457570715,0.0068408435940099,49.8758372562396,89.93193011647254,0.0688432079866888,0.001889013311148,5303778
TikTok,#Fashion,564,58864171,4062383,445614,391344,434104,0.0898632393617021,14347.481968085109,0.0075732588652482,0.0066434787234042,0.0070976187943262,49.96330337234043,89.86323936170213,0.0685488634751773,0.0018962872340425,5333445
TikTok,#LearnOnTikTok,604,58452776,4063857,442275,388586,401762,0.0922626026490066,14598.793609271524,0.0077940397350993,0.0067528841059602,0.0070531407284768,47.613624761589406,92.26260264900662,0.0706625645695364,0.0019906307947019,5296480
TikTok,#StudyWithMe,573,57948481,4109312,450375,383118,428624,0.0928649354275741,16310.850890052356,0.0077950680628272,0.0067806509598603,0.007409520069808,48.54746159860384,92.86493542757415,0.0708797033158813,0.0019676282722513,5371429
TikTok,#Foodie,566,57268288,4058824,446578,395405,411428,0.0931413798586572,16266.779628975264,0.0079152508833922,0.0068974045936395,0.0073356307420494,48.5314015795053,93.14137985865725,0.0709931007067137,0.0019846572438162,5312235
TikTok,#Travel,584,55858848,3800981,418304,373136,376399,0.089235926369863,14474.230017123287,0.0074819743150684,0.0065856421232876,0.0070987551369863,50.64890384931507,89.23592636986302,0.0680695650684931,0.0018260736301369,4968820
TikTok,#Wanderlust,543,55672009,3984760,443391,387334,404456,0.0916990718232044,14217.111583793738,0.0077395469613259,0.0068010570902394,0.0071038268876611,48.65389389502763,91.69907182320442,0.0700546390423572,0.0019627440147329,5219941
TikTok,#HiddenGems,589,53939192,3788719,414151,362658,404648,0.0909399252971137,12693.50612903226,0.0076653089983022,0.0067443056027164,0.0072827945670628,48.90099636162988,90.93992529711376,0.0692475161290322,0.00192360950764,4970176
TikTok,#CatTok,572,53894975,3780631,402914,360684,394311,0.0930216118881119,13119.505402097902,0.0077350454545454,0.0068022972027972,0.0074243164335664,49.62170377447553,93.02161188811188,0.0710599248251748,0.0019467797202797,4938540
TikTok,#Football,574,53726613,3998393,436133,380809,401902,0.0928985435540069,13050.00594076655,0.007737775261324,0.0068339668989547,0.0072211742160278,49.79010350522648,92.89854355400698,0.0711056219512195,0.0019474111498257,5217237
TikTok,#Coding,553,53078571,3826477,414718,370010,381954,0.0915532658227848,13272.930253164555,0.0076302911392405,0.0067941482820976,0.0070425334538878,49.9975196726944,91.5532658227848,0.07008626039783,0.0019302784810126,4993159
TikTok,#Workout,563,52895916,3687333,409276,354350,392539,0.0905385097690941,14186.663392539966,0.0076711509769094,0.0066695896980461,0.0071628401420959,50.59127701420959,90.53850976909412,0.0690349236234458,0.0019013907637655,4843498
TikTok,#GameClip,461,52404130,3784594,416850,362547,379184,0.0912948720173535,16287.688373101952,0.007656104121475,0.0066570976138828,0.0072234164859002,55.19386449240781,91.29487201735358,0.0697582928416485,0.0018058264642082,4943175
TikTok,#StreetFood,540,52355879,3571548,395075,344375,376119,0.0908672666666666,13372.312351851851,0.0076802444444444,0.0067096851851851,0.0072794333333333,51.22078885,90.86726666666668,0.0691979648148148,0.0018390111111111,4687117
TikTok,#Pets,530,51620805,3761549,398546,358041,381004,0.0935651849056603,12791.623981132076,0.0076938188679245,0.0067813754716981,0.0074551622641509,50.89294969433963,93.5651849056604,0.0716348811320754,0.0019236245283018,4899140
TikTok,#Recipe,555,51282866,3530096,402653,332955,362331,0.091490081081081,12011.334450450451,0.0077848774774774,0.0066023657657657,0.0071040936936936,50.821787160360365,91.49008108108109,0.0699987315315315,0.0018734342342342,4628035
TikTok,#Gaming,490,50730351,3564652,384446,349478,365560,0.0907589653061224,14217.619795918368,0.0075960142857142,0.0067261265306122,0.0071933510204081,50.28907208367347,90.75896530612243,0.0692435102040816,0.0018716367346938,4664136
TikTok,#Makeup,497,48606684,3461985,374446,341320,361438,0.0912529798792756,15012.88939637827,0.0076910442655935,0.0067841187122736,0.0071046177062374,49.13971159758552,91.25297987927566,0.0696732012072434,0.0019462374245472,4539189
TikTok,#Esports,442,45489512,3270591,367747,316051,322899,0.0923687760180995,13794.113122171946,0.007707314479638,0.0067533823529411,0.007171036199095,49.16476662895928,92.36877601809957,0.0707370565610859,0.0019546425339366,4277288
TikTok,#Beauty,444,44865138,3224268,343391,310706,328238,0.0912236576576576,13140.37644144144,0.0076180382882882,0.0067878626126126,0.0072245518018018,48.19913527027027,91.22365765765764,0.0695932117117117,0.0019279774774774,4206603
TikTok,#Streamer,424,39178004,2752699,300043,261964,290643,0.0924233867924528,11396.73603773585,0.0077288396226415,0.0067542099056603,0.0072577051886792,49.39928879716981,92.42338679245285,0.0706826179245283,0.0019579316037735,3605349
TikTok,#Skincare,467,39014438,2743145,303172,261730,265322,0.0919939014989293,12476.434903640256,0.0077166038543897,0.0068378372591006,0.0068919614561027,49.99925688008565,91.99390149892936,0.0705474646680942,0.0019288137044967,3573369
TikTok,#LifeHacks,39,4270592,322473,31391,31834,32851,0.0893951794871794,16869.72487179487,0.0072408717948717,0.0067133333333333,0.0073965641025641,42.0674351025641,89.39517948717948,0.0680443589743589,0.0020225641025641,418549
TikTok,#Crafts,41,4158296,307840,33355,28834,30378,0.0956681463414634,15623.62463414634,0.0078152682926829,0.006865487804878,0.0072350243902439,49.33836507317073,95.66814634146344,0.073752487804878,0.0019908536585365,400407
TikTok,#DIY,32,3898721,233219,25008,21517,24035,0.08371753125,14775.88625,0.00726725,0.00603784375,0.0065094375,45.8835870625,83.71753125,0.06390296875,0.00185065625,303779
YouTube,#FYP,4946,490980894,19005903,2106612,1842353,1979257,0.0511027974120501,14084.29582288718,0.0042780190052567,0.0037763190456934,0.004024580873433,15.328128706227254,51.10279741205014,0.0390238792964011,0.0032883503841488,24934125
YouTube,#GRWM,692,65494444,2469033,263735,238170,256646,0.0503202341040462,12297.0262716763,0.0041903829479768,0.0036896401734104,0.0040149147398843,15.580200778901732,50.32023410404624,0.0384253049132947,0.0032247471098265,3227584
YouTube,#Music,529,58887172,2320738,242219,220205,230235,0.0509019678638941,15287.16279773157,0.0041295954631379,0.0037424877126654,0.0040633194706994,15.491308678638942,50.901967863894136,0.0389666011342155,0.0032683534971644,3013397
