model,feature_group,accuracy,precision_macro,recall_macro,f1_macro
random_forest,all_features,0.25540765391014975,0.25616429109011857,0.2553865094738875,0.25524639823390577
random_forest,platform_metadata,0.25488768718801996,0.25515994346453436,0.25480429134380383,0.254826266642488
random_forest,creator,0.2525998336106489,0.25263972437553744,0.25272940740684635,0.25256333895823746
random_forest,content_basic,0.2521838602329451,0.25231773846419353,0.25224580266712454,0.252118855715886
random_forest,non_engagement_combined,0.2521838602329451,0.25217739219154606,0.2521307094147908,0.2517087977765738
linear_svm,all_features,0.25135191347753744,0.2512498362364601,0.2512062542130384,0.25105251639980036
linear_svm,non_engagement_combined,0.25,0.249830526495362,0.2498476368040037,0.24958759485315268
logistic_regression,platform_metadata,0.24968801996672213,0.24965825700658412,0.2496052526819788,0.24908850235502844
logistic_regression,non_engagement_combined,0.2490640599001664,0.24897382451596878,0.24900249592478643,0.24891193645387388
logistic_regression,content_basic,0.24937603993344426,0.2491585284163162,0.2492838420444492,0.24845239819260434
linear_svm,platform_metadata,0.24896006655574043,0.2488041655366128,0.24874725882883167,0.24780065586839078
linear_svm,temporal,0.2505199667221298,0.2501159552295511,0.2500162388097352,0.2470711186200581
logistic_regression,temporal,0.24948003327787022,0.24962477014579884,0.24916017702755464,0.24641481804734977
logistic_regression,all_features,0.24604825291181365,0.24601251719736406,0.24597885166173475,0.2459565546510556
random_forest,temporal,0.2459442595673877,0.2458831699344263,0.24589526110282378,0.24587664343287097
linear_svm,content_basic,0.24646422628951747,0.24575399486451283,0.2461940351873046,0.24455348218010742
random_forest,engagement_observed,0.24240848585690516,0.2423254315854801,0.2423252266467284,0.24227543388101624
logistic_regression,engagement_observed,0.24698419301164726,0.248567769700425,0.24685768177394765,0.24161164141396535
linear_svm,engagement_observed,0.24802412645590682,0.24903607902553324,0.24763610888296575,0.24060583424597343
linear_svm,creator,0.24490432612312812,0.22411980185196578,0.2451244724336304,0.18893827965987625
logistic_regression,creator,0.24532029950083195,0.16389545104223197,0.24603572664363915,0.16297685033163928
majority_baseline,platform_metadata,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,temporal,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,content_basic,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,creator,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,engagement_observed,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,non_engagement_combined,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
majority_baseline,all_features,0.2525998336106489,0.06314995840266223,0.25,0.1008302200083022
