feature_group,feature
platform_metadata,platform
platform_metadata,country
platform_metadata,region
platform_metadata,language
platform_metadata,category
platform_metadata,hashtag
platform_metadata,sound_type
platform_metadata,device_type
platform_metadata,device_brand
platform_metadata,traffic_source
temporal,week_of_year
temporal,upload_hour
temporal,publish_dayofweek
temporal,publish_period
temporal,event_season
temporal,season
temporal,is_weekend
temporal,publish_month
temporal,publish_day
content_basic,genre
content_basic,duration_sec
content_basic,title_length
content_basic,has_emoji
creator,creator_avg_views
creator,creator_tier
engagement_observed,views
engagement_observed,likes
engagement_observed,comments
engagement_observed,shares
engagement_observed,saves
engagement_observed,dislikes
engagement_observed,engagement_total
engagement_observed,engagement_rate
engagement_observed,comment_ratio
engagement_observed,share_rate
engagement_observed,save_rate
engagement_observed,like_dislike_ratio
engagement_observed,like_rate
engagement_observed,dislike_rate
engagement_observed,engagement_per_1k
engagement_observed,engagement_like_rate
engagement_observed,engagement_comment_rate
engagement_observed,engagement_share_rate
engagement_observed,avg_watch_time_sec
engagement_observed,completion_rate
non_engagement_combined,category
non_engagement_combined,country
non_engagement_combined,creator_avg_views
non_engagement_combined,creator_tier
non_engagement_combined,device_brand
non_engagement_combined,device_type
non_engagement_combined,duration_sec
non_engagement_combined,event_season
non_engagement_combined,genre
non_engagement_combined,has_emoji
non_engagement_combined,hashtag
non_engagement_combined,is_weekend
non_engagement_combined,language
non_engagement_combined,platform
non_engagement_combined,publish_day
non_engagement_combined,publish_dayofweek
non_engagement_combined,publish_month
non_engagement_combined,publish_period
non_engagement_combined,region
non_engagement_combined,season
non_engagement_combined,sound_type
non_engagement_combined,title_length
non_engagement_combined,traffic_source
non_engagement_combined,upload_hour
non_engagement_combined,week_of_year
all_features,avg_watch_time_sec
all_features,category
all_features,comment_ratio
all_features,comments
all_features,completion_rate
all_features,country
all_features,creator_avg_views
all_features,creator_tier
all_features,device_brand
all_features,device_type
all_features,dislike_rate
all_features,dislikes
all_features,duration_sec
all_features,engagement_comment_rate
all_features,engagement_like_rate
all_features,engagement_per_1k
all_features,engagement_rate
all_features,engagement_share_rate
all_features,engagement_total
all_features,event_season
all_features,genre
all_features,has_emoji
all_features,hashtag
all_features,is_weekend
all_features,language
all_features,like_dislike_ratio
all_features,like_rate
all_features,likes
all_features,platform
all_features,publish_day
all_features,publish_dayofweek
all_features,publish_month
all_features,publish_period
all_features,region
all_features,save_rate
all_features,saves
all_features,season
all_features,share_rate
all_features,shares
all_features,sound_type
all_features,title_length
all_features,traffic_source
all_features,upload_hour
all_features,views
all_features,week_of_year
