model,feature_group,accuracy,precision_macro,recall_macro,f1_macro
random_forest,combined,0.8199,0.8082590140099651,0.7642866712088766,0.7828118837243419
random_forest,content_engagement,0.8143,0.8012644429155373,0.7562705744764707,0.7757538443419798
linear_svm,combined,0.7692,0.7154734893064861,0.7452524728546981,0.7281157829131842
linear_svm,content_engagement,0.7669,0.7111501694803474,0.75096271157224,0.7281003479359884
logistic_regression,combined,0.7469,0.7004901047467175,0.7733212961076468,0.7221584618491187
logistic_regression,content_engagement,0.7456,0.7003425637163214,0.770914298976644,0.7210806898293403
logistic_regression,platform_context,0.4744,0.4270709609946014,0.4974268501429503,0.420054783223698
linear_svm,platform_context,0.6328,0.43784723581976237,0.4214697197508549,0.40156468937286016
random_forest,platform_context,0.6337,0.4331070488208577,0.39524331854754513,0.3909647530674129
linear_svm,creator,0.563,0.2800021465241216,0.2691952518505145,0.22389128539565006
majority_baseline,content_engagement,0.5539,0.138475,0.25,0.17822897226333742
majority_baseline,platform_context,0.5539,0.138475,0.25,0.17822897226333742
majority_baseline,creator,0.5539,0.138475,0.25,0.17822897226333742
majority_baseline,combined,0.5539,0.138475,0.25,0.17822897226333742
logistic_regression,creator,0.1705,0.1429158472605918,0.29552360025838176,0.17446340963907392
random_forest,creator,0.1705,0.1429158472605918,0.29552360025838176,0.17446340963907392
