feature_group,feature
content_engagement,category
content_engagement,title_len
content_engagement,text_richness
content_engagement,like_rate
content_engagement,comment_rate
content_engagement,share_rate
content_engagement,like_rate_log
content_engagement,comment_rate_log
content_engagement,share_rate_log
content_engagement,rel_like
content_engagement,rel_share
content_engagement,rel_combo
content_engagement,like_hashtag_interaction
content_engagement,share_hashtag_interaction
content_engagement,category_cat
content_engagement,weekend_hashtag_boost
platform_context,platform
platform_context,region
platform_context,language
platform_context,traffic_source
platform_context,device_brand
platform_context,views_per_day
platform_context,likes_per_day
platform_context,platform_cat
platform_context,region_cat
platform_context,language_cat
platform_context,traffic_source_cat
platform_context,device_brand_cat
platform_context,richness_traffic_interaction
creator,creator_tier
creator,creator_tier_cat
combined,category
combined,category_cat
combined,comment_rate
combined,comment_rate_log
combined,creator_tier
combined,creator_tier_cat
combined,device_brand
combined,device_brand_cat
combined,language
combined,language_cat
combined,like_hashtag_interaction
combined,like_rate
combined,like_rate_log
combined,likes_per_day
combined,platform
combined,platform_cat
combined,region
combined,region_cat
combined,rel_combo
combined,rel_like
combined,rel_share
combined,richness_traffic_interaction
combined,share_hashtag_interaction
combined,share_rate
combined,share_rate_log
combined,text_richness
combined,title_len
combined,traffic_source
combined,traffic_source_cat
combined,views_per_day
combined,weekend_hashtag_boost
