section,result_type,model,dataset,split,feature_group,item,rank,columns,model_type,selected_hyperparameters,accuracy,macro_f1,precision,recall,f1,importance,total_importance
RQ1,model_performance,Random Forest,original processed,Validation,,,,,,,0.2622,0.2621,,,,,
RQ1,model_performance,Majority baseline,original processed,Validation,,,,,,,0.2526,0.1008,,,,,
RQ1,model_performance,Random Forest,original processed,Test,,,,,,,0.2454,0.2454,,,,,
RQ1,model_performance,Majority baseline,original processed,Test,,,,,,,0.2526,0.1008,,,,,
RQ1,class_report,Random Forest,original processed,Validation,,declining,,,,,,,0.25,0.248,0.249,,
RQ1,class_report,Random Forest,original processed,Validation,,rising,,,,,,,0.264,0.273,0.268,,
RQ1,class_report,Random Forest,original processed,Validation,,seasonal,,,,,,,0.289,0.279,0.284,,
RQ1,class_report,Random Forest,original processed,Validation,,stable,,,,,,,0.246,0.248,0.247,,
RQ1,class_report,Random Forest,original processed,Validation,,macro avg,,,,,,,0.262,0.262,0.262,,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,completion_rate,1,,,,,,,,,0.0332,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,save_rate,2,,,,,,,,,0.0326,
RQ1,feature_importance,Random Forest,original processed,,creator,creator_avg_views,3,,,,,,,,,0.0324,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,like_dislike_ratio,4,,,,,,,,,0.0321,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,dislike_rate,5,,,,,,,,,0.032,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,avg_watch_time_sec,6,,,,,,,,,0.0312,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,comment_ratio,7,,,,,,,,,0.0312,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,share_rate,8,,,,,,,,,0.0311,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,engagement_share_rate,9,,,,,,,,,0.0308,
RQ1,feature_importance,Random Forest,original processed,,engagement_observed,saves,10,,,,,,,,,0.0305,
RQ2,feature_group_importance,Random Forest,original processed,,engagement_observed,engagement_observed,,,,,,,,,,,0.6048
RQ2,feature_group_importance,Random Forest,original processed,,temporal,temporal,,,,,,,,,,,0.1526
RQ2,feature_group_importance,Random Forest,original processed,,metadata,metadata,,,,,,,,,,,0.1395
RQ2,feature_group_importance,Random Forest,original processed,,content_basic,content_basic,,,,,,,,,,,0.0707
RQ2,feature_group_importance,Random Forest,original processed,,creator,creator,,,,,,,,,,,0.0325
RQ2,feature_group_size,,original processed,,all_features,all_features,,203,,,,,,,,,
RQ2,feature_group_size,,original processed,,metadata,metadata,,138,,,,,,,,,
RQ2,feature_group_size,,original processed,,temporal,temporal,,25,,,,,,,,,
RQ2,feature_group_size,,original processed,,engagement_observed,engagement_observed,,20,,,,,,,,,
RQ2,feature_group_size,,original processed,,content_basic,content_basic,,17,,,,,,,,,
RQ2,feature_group_size,,original processed,,creator,creator,,3,,,,,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,all_features,,,203,,,0.2601,0.26,,,,,
RQ2,validation_performance,KNN,original processed,Validation,metadata,,,138,,,0.2546,0.2546,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,metadata,,,138,,,0.2547,0.2545,,,,,
RQ2,validation_performance,KNN,original processed,Validation,temporal,,,25,,,0.2539,0.2517,,,,,
RQ2,validation_performance,KNN,original processed,Validation,content_basic,,,17,,,0.2522,0.2512,,,,,
RQ2,validation_performance,KNN,original processed,Validation,all_features,,,203,,,0.2512,0.2511,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,content_basic,,,17,,,0.2506,0.2505,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,engagement_observed,,,20,,,0.2503,0.2502,,,,,
RQ2,validation_performance,KNN,original processed,Validation,creator,,,3,,,0.2517,0.2496,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,temporal,,,25,,,0.2496,0.2496,,,,,
RQ2,validation_performance,KNN,original processed,Validation,engagement_observed,,,20,,,0.2496,0.2495,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,engagement_observed,,,20,,,0.2533,0.2481,,,,,
RQ2,validation_performance,Random Forest,original processed,Validation,creator,,,3,,,0.2474,0.2469,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,content_basic,,,17,,,0.244,0.2427,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,metadata,,,138,,,0.242,0.2416,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,all_features,,,203,,,0.2402,0.2399,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,temporal,,,25,,,0.2343,0.2319,,,,,
RQ2,validation_performance,Logistic Regression,original processed,Validation,creator,,,3,,,0.244,0.1686,,,,,
RQ2,validation_performance,Majority baseline,original processed,Validation,none,,,0,,,0.2526,0.1008,,,,,
RQ2,test_performance,Random Forest,original processed,Test,all_features,,,203,,,0.2478,0.2475,,,,,
RQ2,class_report,Random Forest,original processed,Test,all_features,declining,,203,,,,,0.241,0.235,0.238,,
RQ2,class_report,Random Forest,original processed,Test,all_features,rising,,203,,,,,0.261,0.271,0.266,,
RQ2,class_report,Random Forest,original processed,Test,all_features,seasonal,,203,,,,,0.252,0.255,0.253,,
RQ2,class_report,Random Forest,original processed,Test,all_features,stable,,203,,,,,0.235,0.23,0.233,,
RQ2,class_report,Random Forest,original processed,Test,all_features,macro avg,,203,,,,,0.247,0.248,0.248,,
RQ3,test_performance,MLP Neural Network,original processed,Test,,,,,Neural network,"alpha=0.001, hidden_layer_sizes=(64, 32)",0.2569,0.2564,,,,,
RQ3,test_performance,Linear SVM,original processed,Test,,,,,Traditional,C=1.0,0.2499,0.2494,,,,,
RQ3,test_performance,Random Forest,original processed,Test,,,,,Traditional,"min_samples_leaf=5, n_estimators=80",0.249,0.2487,,,,,
RQ3,test_performance,Logistic Regression,original processed,Test,,,,,Traditional,C=0.1,0.2481,0.248,,,,,
RQ3,test_performance,Decision Tree,original processed,Test,,,,,Traditional,"max_depth=12, min_samples_leaf=20",0.2553,0.2439,,,,,
RQ3,test_performance,Dummy Majority,original processed,Test,,,,,Baseline,strategy=most_frequent,0.2526,0.1008,,,,,
RQ3,class_f1,Random Forest,original processed,Test,,declining,,,,,,,,,0.24,,
RQ3,class_f1,Random Forest,original processed,Test,,rising,,,,,,,,,0.26,,
RQ3,class_f1,Random Forest,original processed,Test,,seasonal,,,,,,,,,0.258,,
RQ3,class_f1,Random Forest,original processed,Test,,stable,,,,,,,,,0.236,,
RQ3,class_f1,MLP Neural Network,original processed,Test,,declining,,,,,,,,,0.271,,
RQ3,class_f1,MLP Neural Network,original processed,Test,,rising,,,,,,,,,0.266,,
RQ3,class_f1,MLP Neural Network,original processed,Test,,seasonal,,,,,,,,,0.241,,
RQ3,class_f1,MLP Neural Network,original processed,Test,,stable,,,,,,,,,0.248,,
ML CSV comparison,test_performance,Random Forest,ML CSV,Test,,,,,,,0.8108,0.7822,,,,,
ML CSV comparison,test_performance,MLP Neural Network,ML CSV,Test,,,,,,,0.8163,0.7737,,,,,
ML CSV comparison,test_performance,Dummy Majority,ML CSV,Test,,,,,,,0.5539,0.1782,,,,,
